	London	Paris	Amsterdam	Frankfurt	Madrid	Barcelona	Munich	Rome	Dublin	Stockholm	Lisbon	Berlin	Helsinki	Warsaw	Edinburgh	Bucharest	Heraklion	Reykjavik	Palermo	Madeira
ICAO Code	EGLL	LFPG	EHAM	EDDF	LEMF	LEBL	EDDM	LIRF	EIDW	ESSA	LPPT	EDDT	EFHK	EPWA	EGPH	LROP	LGIR	BIKF	LICJ	LPMA
Latitude (deg)	51.4706	49.0128	52.3086	50.0333	40.4719	41.2971	48.3538	41.8003	53.4213	59.6519	38.7813	52.5597	60.3172	52.1657	55.95	44.5711	35.3397	63.985	38.1108	32.6979
Longitude (deg)	-0.46194	2.55	4.7639	8.5706	-3.5626	2.0785	11.7861	12.2389	-6.2701	17.9186	-9.1359	13.2877	24.9633	20.9671	-3.3725	26.085	25.1803	-22.6056	13.3133	-16.7745
Runway (m)	3200	3100	3400	3400	3600	2700	2800	2800	2600	2700	2600	2900	2700	2500	2200	1900	1800	2200	2300	1900
Available slots	2	3	5	0	3	3	43	4	3	3	3	19	3	4	3	3	3	3	1	3
