City	2020	2023
London	8136000	8750000
Paris	2244000	2241000
Amsterdam	767000	845000
Frankfurt	685000	733000
Madrid	3212000	3166000
Barcelona	1625000	1609000
Munich	1340000	1450000
Rome	2744000	2873000
Dublin	525000	575000
Stockholm	850000	910000
Lisbon	475000	510000
Berlin	3250000	3520000
Helsinki	590000	635000
Warsaw	1720000	1745000
Edinburgh	480000	490000
Bucharest	1942000	1840000
Heraklion	156000	174000
Reykjavik	119000	124000
Palermo	656000	675000
Madeira	266000	255000
